INFO 2025-03-08 20:33:44,375 autoreload Watching for file changes with StatReloader
DEBUG 2025-03-08 20:33:44,377 autoreload Waiting for apps ready_event.
DEBUG 2025-03-08 20:33:45,061 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2025-03-08 20:33:45,294 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\rest_framework\templates with glob **/*.
DEBUG 2025-03-08 20:33:45,295 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\ChatApp\dc1\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:45,296 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\daphne\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:45,297 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\channels\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:45,306 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\corsheaders\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:45,307 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\rest_framework\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:45,308 autoreload Watching dir E:\ARooSH\SPIT\SPIT TE\DC\ChatApp\dc1\chat\locale with glob **/*.mo.
DEBUG 2025-03-08 20:33:47,120 autoreload File E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\django\contrib\staticfiles\handlers.py first seen with mtime 1738217549.9343808
DEBUG 2025-03-08 20:33:47,121 autoreload File E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\django\urls\conf.py first seen with mtime 1738217550.446125
DEBUG 2025-03-08 20:33:47,121 autoreload File E:\ARooSH\SPIT\SPIT TE\DC\dcenv\Lib\site-packages\django\views\csrf.py first seen with mtime 1738217550.5018568
DEBUG 2025-03-08 20:33:47,122 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python312\Lib\concurrent\__init__.py first seen with mtime 1712654418.0
DEBUG 2025-03-08 20:33:47,123 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python312\Lib\hmac.py first seen with mtime 1712654418.0
DEBUG 2025-03-08 20:33:47,124 autoreload File C:\Users\HP\AppData\Local\Programs\Python\Python312\Lib\subprocess.py first seen with mtime 1712654418.0
